,video_id,video_title,upload_date,view_count,like_count,comment_count
154,Zj3ZArkn1sI,How to Invest in your 20s - UPDATED! | Investing in 2022 | Ankur Warikoo Hindi,2022-01-01,621828,36189,2540
155,QUxjCFkpqls,MY DAUGHTER AND COLOURS! | Ankur Warikoo #Shorts,2022-01-01,2914888,154825,663
156,KHHiqTesRHI,Biggest Mistakes Parents Make | Ankur Warikoo #Shorts,2021-12-31,185938,13530,175
157,hPk2F0cDmUI,Mistakes I made in my Relationships | Ankur Warikoo Hindi,2021-12-30,239969,15893,1169
158,ntooBTVX9oE,3 AWESOME Hacks to get people to like you! | Ankur Warikoo #Shorts,2021-12-30,494674,38211,280
159,6nZjZyaR7rI,3 IMPORTANT Skills for your 20s | Ankur Warikoo #Shorts,2021-12-29,266505,29177,155
160,EE8iTK9_xa8,5 IMPORTANT Life Decisions you SHOULD take on an Excel Sheet | Ankur Warikoo Hindi,2021-12-28,371756,18947,1357
161,4e9R6-Aiv_E,3 things you NEED to hear in your 20s | Ankur Warikoo #Shorts,2021-12-28,245553,28364,126
162,fXc84lgTfCQ,My top 3 Under-rated Productivity Hacks! | Ankur Warikoo #Shorts,2021-12-27,444380,39519,207
163,dItsG9bPfPU,BIGGEST Mistake of my Career | Ankur Warikoo #Shorts,2021-12-26,208090,16939,72
164,AKsGnju472s,How much Money did I make in 2021?,2021-12-25,525715,38048,3417
165,GwZ-sJ7343E,3 Books You CAN&#39;T Miss | Ankur Warikoo #Shorts,2021-12-25,593888,60315,496
166,UN50JRmBihQ,3 Money Mistakes I Made in my 20s | Ankur Warikoo #Shorts,2021-12-24,335215,21822,201
167,PgdL-N3rx24,7 TOP Careers for Success in your 20s | Job Tips 2022 | Ankur Warikoo Hindi,2021-12-23,574671,29396,1341
168,buPfCfm7nIY,My Son&#39;s Future Plans | Ankur Warikoo #Shorts,2021-12-23,292081,21950,231
169,5_bQ7xQn6qI,My FIRST Day at the Gym | Ankur Warikoo #Shorts,2021-12-22,256710,23924,162
170,pJYFetCibXI,17 Books to Read in 2022 | My Top Reads of 2021 | Ankur Warikoo Hindi,2021-12-21,293078,15906,16827
171,ksAwpGVjQOo,Waited for 3 months AND... | Ankur Warikoo #Shorts,2021-12-21,551565,43299,221
172,JC2E9JIUcaU,Want to get your DREAM JOB? | Ankur Warikoo #Shorts,2021-12-20,397386,27947,120
173,rPvhp2ewlPw,5 books EVERYONE SHOULD Read | Ankur Warikoo #Shorts,2021-12-19,338861,30581,167
174,YiSCTs3KiDs,15 Gift Ideas for your Parents | Winter/Christmas Gifts 2021 | Ankur Warikoo Hindi,2021-12-18,115934,5674,3728
175,B27Fmxy9VJA,I stole Rs. 400 | Ankur Warikoo #Shorts,2021-12-18,743849,50119,493
176,NqWJXk700FA,3 Apps I use for Investing | Ankur Warikoo #Shorts,2021-12-17,99729,5778,118
177,i7QcRcXap0E,16 Best Investments I made in 2021 | My Investing Strategy | Ankur Warikoo Hindi,2021-12-16,237972,11716,1034
178,uGFxahskGew,The Only Loan you should ever take! | Ankur Warikoo #Shorts,2021-12-16,331436,13129,412
179,borvMxXZVMM,FOMO is NOT an Investing Strategy | Ankur Warikoo #Shorts,2021-12-15,156036,9341,79
180,3TchUWKmW_M,Investing Your Money in 2022 | Investment Tips for Beginners | Ankur Warikoo x @Akshat Shrivastava,2021-12-14,899365,27626,3533
181,tgeNZq-E-BE,3 ways to get rich before you turn 30 | Ankur Warikoo #Shorts,2021-12-14,615868,37486,367
182,K4qR7Pevvtg,3 Signs You Have Money | Ankur Warikoo #Shorts,2021-12-13,489654,23360,530
183,jUDdsNjCqq8,You’re not rich if you own luxurious things | Ankur Warikoo #Shorts,2021-12-12,204489,13954,157
184,as7acW3B2jA,NFTs explained in 10 minutes | Non Fungible Tokens | Ankur Warikoo Hindi,2021-12-11,1159454,59386,3133
185,0YWF2GImikA,Why I hate Fixed Deposits! | Ankur Warikoo #Shorts,2021-12-11,198797,12702,148
186,iPo9CzEDOlE,I scored 57 in English! | Ankur Warikoo #shorts,2021-12-10,167008,11691,186
187,OCpNDWZV1Ag,Investing - DON&#39;T Make These Mistakes | Ankur Warikoo,2021-12-09,239385,10561,780
188,VhZ-evbKcqg,7 Apps I use for my Investments! | Ankur Warikoo #Shorts,2021-12-08,713086,43052,775
189,SRsuLBzUryI,How I got 100% scholarship to study abroad | Ankur Warikoo Hindi Video,2021-12-07,178771,10742,599
190,v693MDRV1HI,What are Index Mutual Funds? | Ankur Warikoo,2021-12-04,237850,9640,1060
191,9w2pBVcxXnI,What are ETFs? | Ankur Warikoo | #GiveawayAlert,2021-12-02,113131,4910,640
192,W5kGrX2lI-s,I reached 1Mn subscribers in just 18 months? | Ankur Warikoo Hindi | YouTuber Journey,2021-11-30,68815,4027,859
193,PeqgHcl5LMo,Is an Online MBA worth it? | Ankur Warikoo,2021-11-27,212306,9661,1043
194,oYW8df0Rlpw,Stock and Crypto crash - How to handle,2021-11-25,125993,5252,452
195,vAz57tCa848,My Failure Resume | Ankur Warikoo,2021-11-23,394325,21991,2112
196,h-q6mpjCyFw,15 Online Courses for a BETTER CAREER! | Jobs in 2021-22 | Ankur Warikoo,2021-11-20,218139,11943,521
197,N1BPn_Ir66U,Top 10 BEST Gifts for Teenagers! | Ankur Warikoo,2021-11-18,141046,7056,3307
198,TKc1nUDWaSk,Traditional Banks vs Neo Banks | Digital Banks EXPLAINED IN HINDI | Ankur Warikoo,2021-11-16,134499,5333,864
