,video_id,video_title,upload_date,view_count,like_count,comment_count
164,1UAzlN2-47Q,Global economy crashing? | 3 steps to make money with debt,2022-01-21,252378,8083,738
165,dy-ISjr1Wgk,How to invest in this revolutionary tech?,2022-01-20,139116,5496,617
166,V2ailBMoBoI,Buy/Sell: These stocks could Skyrocket,2022-01-19,280130,18154,1240
167,NjKTvIMWqxM,Stock Analysis: Deep discount or Trap for retail investors?,2022-01-18,148219,6337,637
168,EKzofU_8FnU,Stocks to buy and avoid,2022-01-17,324692,15241,1247
169,sp_EtDL5XoI,Should you buy this stock?,2022-01-16,317976,11539,830
170,RvRvZltTo8o,Where to invest in 2022?,2022-01-15,237878,17133,1150
171,IciqMVnNh6g,"Small Investments, great returns-- SPECULATION Strategy in Stock INVESTING, explained!",2022-01-14,131910,6830,1014
172,Rbmxkuqqj0s,Work from Home Earning Options in METAVERSE!,2022-01-13,139286,5798,436
173,zd02mQSJidQ,5 steps to make MORE RETURNS!,2022-01-12,137205,14064,593
174,E8hjR3F3QOs,GREAT time to buy tech stocks?,2022-01-11,259078,9941,724
175,X5NBRp9tWO4,Bull Run in India | Stocks to buy,2022-01-10,229620,9984,684
176,rhcHuBgM6Lw,The REAL POWER of Monopoly TECH STOCKS,2022-01-09,143805,5779,415
177,p8cRw2_aXFQ,5 Business Ideas that can make you RICH,2022-01-08,228249,12406,402
178,8fUcU4nkKgs,"1 stock, 100% gains | Multibagger stock finding strategy",2022-01-07,531888,30107,1665
179,SUaVedd9L9g,Build these 3 Amazing income streams!,2022-01-06,274710,16326,1141
180,YtSaidtGc9U,What are SMART CONTRACTS?  (Explained in 15 mins!),2022-01-05,74850,3558,309
181,h-CJ24omKrw,Markets | Week ahead with Akshat,2022-01-05,125701,12292,1026
182,Bz9m8C8X_jU,Fake vs Real Growth in Stocks,2022-01-04,149517,7053,338
183,hOrqOJ6dXO8,My total stock market returns | 5 lessons for Investors,2022-01-03,145543,11997,746
184,s9oSsNGC3H0,Investment strategies for great returns! [Dhando Strategy],2022-01-02,145997,8397,548
185,YWA214UdNjk,3 great stock market strategies for salaried people,2022-01-01,292742,29970,897
186,aTQh_RQZ8MQ,Should YOU invest? The REAL Value of NFTs,2021-12-31,62420,2823,506
187,nnK8kbibtgs,How to invest 15K for GROWTH!,2021-12-30,270253,12352,901
188,ZWz7eqbsJmk,"Great stock, Decent price",2021-12-30,162718,6813,493
189,MpTadQpq9LY,My SECRET to analysing stocks!,2021-12-29,171398,10630,770
190,UfMuKG1ViJ4,Make 100X returns like Musk | Process decoded!,2021-12-28,108415,6302,347
191,1I-XQViRFq0,Great strategy to buy the dip!,2021-12-27,257394,14978,1024
192,OY4otpxkeqs,The next YES Bank? | #RBLBank crisis,2021-12-27,86641,3257,291
193,sjRjE0lxKQQ,My BEST  Worst Investments in 2021 | 240% returns on this asset | Akshat Shrivastava,2021-12-26,121670,4961,742
194,8jf8HYi39W8,Finance with Akshat and Zayn #shorts,2021-12-26,107568,3794,159
195,tLJ2iCfmzHY,1 Crore package reality IIT/IIM Salary | How to negotiate for more salary?,2021-12-25,58193,2641,300
196,t8m26sJgKMg,"Profitable but Risky portfolio with INR 10,000 | Akshat Shrivastava",2021-12-24,274875,12293,1141
197,wOqJzJri8B0,NFT Investing and Staking explained |#cryptos #nft,2021-12-23,210541,8392,1441
198,8Q1OXvjS4yM,What stocks to buy with 1L | Build a winning portfolio,2021-12-22,168399,6891,528
199,5HQTcxAWKqk,My 5 secrets to making money!,2021-12-21,194755,9141,547
200,yq5VEdfTZIc,India&#39;s potential Multibagger Tech stocks #AtomstoBitsFramework,2021-12-20,184304,5853,351
201,mBun0K5exVM,Should you buy or sell? And re-enter later,2021-12-20,153164,8717,430
202,VQp7tx8xEao,Tutorial Video: How to invest in US stocks | #vested,2021-12-19,92826,6155,631
203,qCvpa991XsU,"How to Earn, spend and invest money!",2021-12-18,600830,21535,1493
204,hjcvBHuPKrA,LIVE DISCUSSION: Market and Fall - What to do?,2021-12-17,94657,3610,237
205,wEXtbPxbDlc,How to make a lot of money in the stock market,2021-12-17,199695,9126,750
206,_pfHRCuYh6M,How to build these 8 income streams,2021-12-16,494745,16315,795
207,DZOZ2B_iXjo,What are BAT tokens? And why am I buying these?,2021-12-15,144891,6861,567
208,eNyNtj2zf3A,Stocks that I am buying and selling,2021-12-14,163139,6060,846
209,TicLJU6DXJ0,My 3 NEW Crypto investments in 2022 | Crypto taxation,2021-12-13,298620,20019,2896
210,KooB6MqY-jw,How to CATCH A FALLING KNIFE to make money!,2021-12-12,182923,5506,548
211,-fJRdBJ8U8c,List of great Mid-cap stocks,2021-12-10,139960,4398,600
212,P94DxjckQh8,TATA Group: Fundamental Analysis of Stocks | Akshat Shrivastava,2021-12-09,114056,4652,552
213,vnq8i-Rdw08,5 stocks at discount!,2021-12-08,185386,6297,736
214,nldId7UtBg0,GREAT returns with SMALL investments!,2021-12-07,202934,8313,1669
215,ObYEixHwgYw,Where to invest in 2022?,2021-12-06,117097,4611,636
216,aik2AnFO8Po,Can an IIT graduate save this firm?,2021-12-05,88559,2446,766
217,jj5KiWvIFes,Which stocks to BUY NOW?,2021-12-04,291001,9401,1153
218,6FVI-0a5YXg,Why this market leader is falling?,2021-12-03,148219,4497,622
219,aSxNaJvAgl4,Best EV Stock?,2021-12-02,123247,5316,755
220,gDMJ2AOMe_M,[GIVEAWAY ANNOUNCEMENT] 3 things that can kill Bitcoin,2021-12-01,89433,3299,1005
221,SuU1eAQd900,Multibagger or Overpriced?,2021-11-30,126580,4107,746
222,kczsCOd8iKA,List of good stocks,2021-11-29,407713,20523,1338
223,1VNr88Mviho,Buying this now!,2021-11-28,179064,5505,598
224,g0hFUTMrw2c,When do I sell my stocks?,2021-11-27,168023,7750,832
225,bZPDW062vgU,How to make regular income from investments?,2021-11-26,885160,24602,3157
226,OreLLwtoPj8,Bitcoin banned in India? #shorts #bitcoin #cryptonews,2021-11-25,147235,4848,207
227,U371Mns2-eg,How to grow fast in your career!,2021-11-24,69691,3461,177
228,tD1vjCNTWko,Should you sell ALL your Cryptos now?,2021-11-24,112687,4029,633
229,93RGd512qrw,"Should you buy, hold or sell stocks?",2021-11-23,98834,4687,610
230,fMnAdWTcgbc,How YOU can save A LOT OF taxes | Simple 5 point explanation,2021-11-22,180239,7046,488
231,letzMLRmR6Y,Stock Market Fall: Live Discussion,2021-11-22,140064,5868,740
232,kriJ0QSOf1k,GREAT buying opportunity in 2 SOLID stocks!,2021-11-21,98834,4872,377
233,4ELuiRL7T1Y,These 5 skills will change your career!,2021-11-20,189821,9943,380
234,uwYJeiECR9E,Great buying opportunity in this stock?,2021-11-19,129894,3931,464
235,rRLgWn8sfxw,Invest NOW? | The 4 Quadrant framework for Investing,2021-11-18,239382,9914,643
236,8phvgDauxQM,"PayTM falls 27%, what should you do? #shorts #PayTMIPO",2021-11-18,363441,10085,225
237,PlN9f1cLI4A,"How to invest in Commercial Properties: expected return, REITS and other details.",2021-11-17,259386,7626,794
238,4hU0307L6hY,Crypto CRASH today!--fundamental analysis of Cryptos | QnA,2021-11-16,104435,3561,548
239,Y9wb2XGMPYk,Job Market Crash!,2021-11-15,153589,7127,470
